"country_of_origin","aroma","flavor","acidity","category_two_defects","altitude_mean_meters","harvested","Qualityclass"
"Guatemala",7.58,7.5,7.58,1,1901,2017,"Poor"
"Taiwan",7.92,7.75,7.67,0,1000,2016,"Good"
"Brazil",7.83,7.83,7.67,3,1250,2012,"Good"
"Colombia",7.5,7.75,7.75,0,1450,2011,"Good"
"Guatemala",6.17,6.5,7.17,5,NA,NA,"Poor"
"El Salvador",7.33,7.17,7.08,1,1450,2013,"Poor"
"Thailand",7.83,8.33,8.25,9,1300,2012,"Good"
"Mexico",7.83,7.75,7.58,2,1261,2015,"Good"
"Colombia",7.5,7.58,7.75,2,1775,2014,"Good"
"Guatemala",7.08,6.92,7,15,1310.64,2013,"Poor"
"Nicaragua",7.08,6.92,7.25,2,900,2015,"Poor"
"Brazil",7.67,7.42,7.58,4,890,2018,"Good"
"Thailand",7.33,7.33,7.5,0,NA,2011,"Poor"
"Honduras",7.58,7.42,7.42,4,1350,2015,"Poor"
"Mexico",7.33,6.75,7.25,30,1250,2012,"Poor"
"Brazil",7.42,7.42,7.42,3,NA,2013,"Poor"
"Mexico",7.67,7.33,7.17,1,1550,2014,"Poor"
"Brazil",7.25,7.5,7.17,0,1100,2015,"Poor"
"Brazil",7.58,7.5,7.75,4,975,2011,"Good"
"Brazil",8.5,8.5,8,2,1250,2011,"Good"
"Guatemala",7.67,7.83,8,4,1524,2012,"Good"
"Mexico",7.42,7.25,7.75,7,1800,2012,"Poor"
"United States (Hawaii)",7.33,7.5,7.58,2,NA,2012,"Poor"
"Colombia",7.67,7.58,7.58,1,1550,2014,"Good"
"Taiwan",8.08,8.17,8.08,0,1000,2015,"Good"
"Tanzania, United Republic Of",8,7.83,7.92,2,1620,2014,"Good"
"Brazil",7.25,7.25,7.5,9,NA,NA,"Poor"
"United States (Hawaii)",7.25,7.58,7.67,12,NA,NA,"Poor"
"Brazil",7.25,7.33,7.25,8,1200,2015,"Poor"
"Honduras",7.25,7.42,7.42,0,1450,2016,"Poor"
"Brazil",7.25,7.33,7.33,14,1100,2016,"Poor"
"Haiti",7.42,7.33,7.42,0,825,2013,"Poor"
"Guatemala",7.75,7.58,7.67,14,1600,NA,"Good"
"Taiwan",7.67,7.5,7.17,0,800,2012,"Poor"
"Tanzania, United Republic Of",7.33,7.17,7.5,5,1700,2014,"Poor"
"Mexico",7.75,7.92,7.92,2,1400,2012,"Good"
"Uganda",7.75,7.58,7.5,4,1400,2013,"Good"
"Uganda",7.33,7.58,7.75,1,1600,2013,"Poor"
"Ethiopia",8.67,8.67,8.42,0,1635,2010,"Good"
"Guatemala",7.83,7.5,8,5,1524,2012,"Good"
"Colombia",7.75,7.58,7.25,3,1800,2012,"Good"
"Uganda",8.08,8.08,7.92,0,NA,2014,"Good"
"Uganda",8.08,8,7.67,5,1950,2013,"Good"
"Colombia",7.75,7.58,7.83,1,1775,2014,"Good"
"Guatemala",7.83,7.5,8,2,NA,2012,"Good"
"Nicaragua",7.58,7.83,7.92,0,NA,NA,"Good"
"El Salvador",7.67,7.67,7.67,7,1200,2016,"Good"
"Colombia",7.67,7.83,8,2,1750,2012,"Good"
"Mexico",7.17,6.92,7.08,34,1450,2012,"Poor"
"Indonesia",7.75,7.83,7.75,0,1250,2015,"Poor"
"Taiwan",7.42,7.33,7.33,0,900,2014,"Poor"
"Costa Rica",8.08,8.25,8.17,2,1300,2014,"Good"
"Brazil",7.33,7.17,7.67,3,NA,NA,"Poor"
"Mexico",7.75,7.58,7.75,1,1400,2011,"Good"
"Indonesia",7.81,7.88,7.75,0,NA,2017,"Good"
"Colombia",7.58,7.75,7.83,5,NA,2016,"Good"
"Brazil",7.81,7.81,7.75,4,NA,NA,"Good"
"Kenya",7.92,7.83,7.92,0,1800,2014,"Good"
"Costa Rica",7.33,7.33,7.25,0,1300,2014,"Poor"
"Guatemala",7.42,7.25,7.25,4,1450,2012,"Poor"
"Uganda",7.92,7.83,7.92,3,1775,2012,"Good"
"Colombia",7.75,7.58,7.75,5,1799,2016,"Good"
"Mexico",7.67,7.58,7.58,2,1650,2012,"Poor"
"Guatemala",7.58,7.67,7.42,1,1700,2017,"Poor"
"Guatemala",7.5,7.17,7.5,3,1219.2,2014,"Poor"
"Mexico",7,6.83,7.42,30,800,2012,"Poor"
"Costa Rica",7.33,7.08,7.25,3,1300,2014,"Poor"
"Colombia",8,7.67,7.25,1,1880,2010,"Good"
"Ethiopia",8.17,8.33,8.33,2,NA,NA,"Good"
"Mexico",7.5,7.42,7.67,5,1560,2013,"Poor"
"Guatemala",7.5,7.42,7.83,6,1676.4,2015,"Poor"
"Mexico",7.08,6.83,7.17,12,1250,2012,"Poor"
"United States",8,8.25,8.5,0,2019,2014,"Good"
"El Salvador",7.67,7.58,7.5,2,1250,2014,"Poor"
"Mexico",7.25,6.75,6.92,0,1600,2014,"Poor"
"Colombia",7.83,7.75,7.58,3,1750,2013,"Good"
"Nicaragua",7.08,7.5,7.17,4,1100,2015,"Poor"
"United States (Hawaii)",7.42,7.33,7.25,0,NA,2012,"Poor"
"Colombia",8,7.92,7.92,3,NA,2016,"Good"
"Mexico",7.5,7.42,7.58,6,1400,2013,"Poor"
"Myanmar",7.17,7.33,7.42,2,3800,2015,"Poor"
"Myanmar",7.17,7.42,7.58,5,1066.8,2015,"Poor"
"Colombia",7.67,7.67,7.75,3,1775,2015,"Good"
"Brazil",7.42,7.58,7.5,3,1100,2012,"Poor"
"Colombia",7.67,7.58,7.83,1,1750,2013,"Good"
"Mexico",7.25,6.92,7.33,5,1550,2012,"Poor"
"Mexico",7.33,7.33,7.42,5,1642,2012,"Poor"
"Tanzania, United Republic Of",7.42,7.42,7.42,5,1800,2014,"Poor"
"Colombia",7.83,7.67,7.75,0,NA,2016,"Good"
"Guatemala",7.42,7.58,7.67,1,1219.2,2017,"Good"
"Mexico",6.92,6.92,7.25,2,1150,2012,"Poor"
"Brazil",7.42,7.67,7.08,9,1,2016,"Poor"
"Mexico",7.67,7.58,7.42,4,1250,2012,"Poor"
"Taiwan",7.17,7.17,7.42,0,50,2017,"Poor"
"United States (Hawaii)",7.5,7.33,7.58,3,NA,2013,"Poor"
"Mexico",7.33,7.25,7.08,22,1050,2012,"Poor"
"Guatemala",7.5,7.67,7.67,1,1500,2014,"Good"
"Costa Rica",7.33,7.67,7.5,1,1350,NA,"Good"
"Taiwan",7.25,7.25,7.08,0,250,2014,"Poor"
"Brazil",7.67,7.75,7.67,16,1150,2015,"Good"
"Honduras",6.83,7,7,6,1350,2014,"Poor"
"Guatemala",7.33,7.25,7.33,2,1700,2017,"Poor"
"Mexico",7.42,7.33,7.42,0,1100,2013,"Poor"
"Brazil",6.83,7,7.08,4,NA,NA,"Poor"
"Guatemala",7.75,7.83,8,1,1600,2015,"Good"
"Mexico",7.83,7.92,7.83,1,1450,2012,"Good"
"Kenya",7.92,7.83,8,0,2000,2012,"Good"
"Brazil",7.67,7.67,7.75,5,890,2018,"Good"
"Indonesia",7.42,7.42,7.33,6,1300,2014,"Poor"
"Guatemala",7.67,7.67,7.83,0,1500,2014,"Good"
"Thailand",6.92,7.17,7.42,0,800,2013,"Poor"
"China",7.83,7.83,7.75,1,1400,2015,"Good"
"Kenya",7.58,7.75,7.75,0,250.5,2013,"Good"
"Colombia",8.08,7.67,7.33,3,1800,2010,"Good"
"Indonesia",7.17,7.42,7.42,0,NA,2013,"Poor"
"United States (Hawaii)",8.33,8.17,8,0,426.72,2010,"Good"
"Kenya",7.17,7.58,7.5,3,1600,2017,"Poor"
"Guatemala",7,7.5,7.17,3,NA,2012,"Poor"
"Malawi",7.5,7.25,7.17,1,995,2014,"Poor"
"Guatemala",7.08,7.33,7.58,2,1219.2,2013,"Poor"
"Nicaragua",7.33,7.08,7.08,5,1250,2017,"Poor"
"Colombia",7.75,7.67,7.67,0,442,2016,"Good"
"Colombia",7.42,7.17,7.17,3,NA,NA,"Poor"
"Guatemala",7,6.83,7.17,2,1310.64,2013,"Poor"
"Guatemala",7.42,7.5,7.5,1,157.8864,2017,"Poor"
"Guatemala",7.58,7.67,7.58,8,1800,2017,"Good"
"Kenya",7.33,7.58,7.75,4,1800,2018,"Good"
"Taiwan",7.67,7.5,7.5,0,1240,2014,"Good"
"Mexico",7.5,7.5,7.5,3,1100,2012,"Poor"
"Colombia",7.67,7.58,7.58,0,1750,2012,"Good"
"Brazil",8.17,7.92,7.75,2,12,2010,"Good"
"United States (Hawaii)",7.42,7.75,7.58,2,NA,2012,"Good"
"Thailand",7.25,7.08,7.5,0,800,2013,"Poor"
"Colombia",7.83,7.67,7.42,5,1450,2013,"Good"
"Nicaragua",7.5,7.42,7.33,3,1100,2017,"Poor"
"Costa Rica",7.5,7.25,7,4,1200,2014,"Poor"
"United States (Hawaii)",7.83,8,7.75,1,NA,2012,"Good"
"Brazil",7.75,7.67,7.5,1,1000,2012,"Good"
"Colombia",7.67,7.33,7.58,1,1600,2010,"Poor"
"Nicaragua",7.83,7.58,7.83,2,925,2010,"Good"
"Tanzania, United Republic Of",8.42,8.17,8,1,NA,2012,"Good"
"Costa Rica",7.5,7.67,7.5,3,1200,2013,"Good"
"Brazil",7.42,7.42,7.42,5,934,2016,"Poor"
"United States (Hawaii)",7.92,7.92,7.83,1,NA,2012,"Good"
"Indonesia",7.92,7.83,7.75,7,1200,2016,"Good"
"Mexico",7.17,6.83,7.25,38,12,2012,"Poor"
"Malawi",7.67,7.42,7.5,0,1599,2014,"Poor"
"Guatemala",8.17,8.17,7.67,1,1450,2012,"Good"
"Brazil",7.75,7.5,7.42,2,NA,2012,"Poor"
"Brazil",7.33,7.67,7.5,2,925,2011,"Poor"
"Costa Rica",7.58,7.5,7.75,4,1100,2013,"Poor"
"Colombia",7.58,7.67,7.33,1,1500,2017,"Good"
"United States (Hawaii)",7.58,7.67,7.67,5,NA,2013,"Poor"
"Honduras",6.67,6.5,6.67,4,1450,2014,"Poor"
"China",7.67,7.67,7.67,3,1600,2015,"Good"
"Guatemala",7.33,7.08,7.25,8,1310.64,2013,"Poor"
"Taiwan",7.67,7.33,7.25,0,700,2014,"Poor"
"Colombia",8.17,7.83,8.08,0,2560,2015,"Good"
"Honduras",7.5,7.5,7.67,5,1450,2013,"Good"
"Brazil",7.42,7.33,7.42,1,1000,2012,"Poor"
"Taiwan",7.75,7.75,7.5,0,1300,2014,"Good"
"Mexico",7.33,7.5,7.33,6,1000,2012,"Poor"
"Mexico",8,7.92,8.08,0,1350,2012,"Good"
"Honduras",7.42,7.67,7.58,6,1500,2017,"Poor"
"Honduras",7.42,7.33,7.58,0,NA,2012,"Poor"
"Guatemala",7.83,8,8.17,3,1524,2012,"Good"
"Colombia",7.58,7.58,7.58,0,1483,2014,"Good"
"Thailand",7.75,7.75,7.75,0,NA,2015,"Good"
"Brazil",7.42,7.5,7.42,10,NA,2015,"Poor"
"Mexico",7.33,7.25,7.42,6,1250,2012,"Poor"
"Brazil",7.58,7,6.92,0,1,2016,"Poor"
"Guatemala",8,8,8.33,1,1417.32,2012,"Good"
"Nicaragua",7.42,7,7.17,0,1000,2016,"Poor"
"Taiwan",7.25,7.25,7.25,0,600,2014,"Poor"
"Brazil",7.58,7.5,7.5,2,1100,2012,"Poor"
"United States (Hawaii)",7.42,7.33,7.33,1,NA,2012,"Poor"
"Colombia",7.5,7.75,7.75,4,1625,2015,"Good"
"Mexico",7.5,7.58,7.5,6,1250,2012,"Good"
"China",7.5,7.67,7.67,2,1500,2015,"Good"
"Honduras",7.5,7.5,7.33,7,1600,2016,"Poor"
"Mexico",7.33,7.17,7.08,0,1300,2012,"Poor"
"Brazil",7.5,7.33,7.5,3,944,2016,"Poor"
"Brazil",7.58,7.5,7.42,10,1100,NA,"Poor"
"Guatemala",7.67,7.5,7.42,0,1310.64,2013,"Good"
"Ethiopia",7.25,7.25,7.33,1,NA,2010,"Poor"
"Colombia",7.5,7.67,7.58,1,1750,2012,"Good"
"Tanzania, United Republic Of",7.25,7.17,7.25,5,NA,2014,"Poor"
"Brazil",7.75,7.67,7.58,1,1200,2012,"Good"
"Guatemala",7.58,7.58,7.67,1,1901,2017,"Good"
"United States",7.67,8.17,8,0,1941,2014,"Good"
"Thailand",7.83,7.33,7.33,0,NA,2012,"Good"
"Mexico",7.75,8,7.83,0,1200,2012,"Good"
"Malawi",7.75,7.33,7.33,1,1200,2014,"Poor"
"Ethiopia",7.83,8.08,8.08,4,1900,2014,"Good"
"Guatemala",7.58,7.5,7.42,6,3280,2015,"Poor"
"Brazil",7.58,7.83,7.67,6,900,2015,"Good"
"Colombia",7.83,7.5,7.42,2,1550,2013,"Poor"
"Guatemala",7.17,7.17,7.17,4,1310.64,2012,"Poor"
"Costa Rica",7.5,7.17,7.17,3,1850,2013,"Poor"
"Mexico",7.67,7.5,7.58,11,1250,2012,"Poor"
"Mexico",7.58,7.58,7.42,2,1380,2012,"Good"
"Ethiopia",8.75,8.67,8.58,1,2075,2014,"Good"
"Nicaragua",7.25,7.25,7.25,5,110000,2015,"Poor"
"Honduras",7.5,7.33,7.5,5,1400,2014,"Poor"
"Colombia",7.92,7.67,7.83,0,NA,2015,"Good"
"Costa Rica",7.5,7.5,7.5,0,1900,2016,"Good"
"Mexico",7.58,7.58,7.5,6,1350,2012,"Poor"
"Guatemala",6.5,6.33,7.5,1,1310.64,2013,"Poor"
"Mexico",7.5,7.58,7.67,3,1170,2012,"Poor"
"Guatemala",7.5,7.67,7.5,5,1310.64,2012,"Poor"
"El Salvador",7.58,7.67,7.67,0,1500,2014,"Poor"
"Colombia",5.08,7.75,7.75,1,1600,2016,"Poor"
"Mexico",7.58,7.42,7.75,1,1250,2012,"Poor"
"Colombia",7.58,7.75,7.67,2,1000,2013,"Good"
"Malawi",7.75,7.58,7.5,0,1442,2014,"Good"
"Brazil",7.42,7.42,7.5,14,NA,NA,"Poor"
"Mexico",7.83,7.92,7.75,4,1400,2012,"Good"
"Panama",7.42,7.42,7.58,4,1100,2012,"Good"
"Brazil",7.17,7.42,7.25,0,1100,2015,"Poor"
"Uganda",8.17,8.17,8.08,0,1650,2013,"Good"
"Colombia",7.75,7.5,7.58,0,1650,2016,"Good"
"Colombia",7.67,7.75,7.67,0,1480,2014,"Good"
"El Salvador",7.5,7.5,7.58,1,1350,2017,"Good"
"Taiwan",7.92,7.58,7.83,0,350,2016,"Good"
"Brazil",8.5,8,7.75,1,1100,2011,"Good"
"Mexico",7.5,7.5,7.42,1,1400,2013,"Poor"
"Uganda",7.67,7.67,7.58,8,1645,2015,"Good"
"Honduras",7.42,7.17,7.42,2,1350,2015,"Poor"
"Guatemala",7.17,7.42,7.5,5,1383.792,2014,"Poor"
"United States (Hawaii)",7.5,7.42,7.42,0,NA,NA,"Poor"
"Costa Rica",7.83,7.33,7.08,2,1200,2014,"Poor"
"Thailand",7.58,7.5,7.42,0,800,2013,"Poor"
"Thailand",7.67,7.75,7.67,1,1350,2015,"Good"
"Colombia",7.92,7.75,7.75,2,1775,2014,"Good"
"Guatemala",7.75,7.42,7.75,2,1524,2014,"Good"
"Guatemala",6.75,6.5,7,8,NA,2012,"Poor"
"Colombia",7.42,7.67,7.75,0,442,2015,"Good"
"Thailand",7.5,7.25,7.75,0,NA,NA,"Good"
"Guatemala",7.5,7.42,7.58,0,1219.2,2014,"Poor"
"Uganda",7.92,7.75,7.67,26,1700,2012,"Good"
"Guatemala",7.33,7.42,7.42,0,1219.2,2017,"Poor"
"Mexico",7.33,7.58,7.5,0,NA,2014,"Poor"
"Mexico",7.08,7.33,7.33,12,950,2012,"Poor"
"Mexico",7.25,7.33,7.25,0,1250,2012,"Poor"
"Thailand",7.42,7.58,7.42,1,1450,2014,"Good"
"Tanzania, United Republic Of",7.75,7,7.58,3,NA,2014,"Good"
"Guatemala",7.58,7.58,7.58,4,NA,2012,"Good"
"Peru",7.67,7.17,7.25,4,1400,2012,"Poor"
"United States",7.33,7.33,7.42,6,795,2014,"Poor"
"Guatemala",7.33,7.17,7.42,3,1219.2,2014,"Poor"
"Mexico",7.67,7.17,7.33,0,1350,2012,"Poor"
"Uganda",7.83,7.58,7.67,2,1745,2013,"Poor"
"Taiwan",6.83,6.75,7.25,0,800,2013,"Poor"
"Colombia",7.58,7.67,7.17,0,1800,2010,"Poor"
"Taiwan",8,7.92,7.92,0,950,2014,"Good"
"Mexico",7.42,7.5,7.67,23,1250,2012,"Poor"
"Mexico",7.5,7.58,7.5,10,1679,2012,"Good"
"Colombia",7.83,7.75,7.25,3,1880,2010,"Good"
"Ethiopia",7.75,7.75,7.67,4,1676.5,2014,"Good"
"India",7.67,7.83,7.5,0,1000,2015,"Poor"
"Guatemala",7.5,7.67,7.33,4,1752.6,2012,"Poor"
"Mexico",7.58,7.67,7.33,8,441,2012,"Poor"
"Brazil",7.75,7.5,7.5,3,1000,2011,"Good"
"Honduras",7.33,7.33,7.33,3,1450,2014,"Poor"
"Mexico",7.08,7.08,7.08,1,1200,2014,"Poor"
"Mexico",7.5,7.67,7.75,3,1300,2016,"Good"
"Colombia",7.42,7.33,7.17,2,1300,2013,"Poor"
"Taiwan",7.25,7.25,7.25,0,600,2014,"Poor"
"Guatemala",8,7.92,8,2,NA,2016,"Good"
"Brazil",7.5,7.67,7.67,3,872,2016,"Good"
"Honduras",7.67,7.5,7.42,2,1350,2015,"Poor"
"India",7.67,7.75,7.67,0,3140,2017,"Good"
"Taiwan",7.75,7.75,7.75,0,1000,2014,"Good"
"Colombia",7.67,7.42,7.33,5,1600,2011,"Poor"
"Tanzania, United Republic Of",7.33,7.33,7.42,5,1525,2014,"Poor"
"Guatemala",7.75,7.92,7.92,10,1565,2016,"Good"
"Guatemala",7.67,7.75,7.83,5,1219.2,2016,"Good"
"Guatemala",7.5,7.58,7.67,2,1700,2017,"Good"
"Guatemala",7.58,7.5,7.67,0,157.8864,2017,"Poor"
"Guatemala",7.17,6.5,7,2,1219.2,2014,"Poor"
"United States (Hawaii)",7.75,7.67,7.83,2,NA,NA,"Good"
"Myanmar",6.92,7.5,7.58,2,3825,2015,"Poor"
"Colombia",7.67,7.75,7.67,3,1775,2015,"Good"
"Tanzania, United Republic Of",7.33,7.17,7.25,0,1700,2014,"Poor"
"Uganda",7.83,7.75,7.83,1,1600,2012,"Good"
"Brazil",7.58,7.67,7.5,4,NA,2016,"Good"
"Mexico",7.5,7.58,7.58,0,950,2012,"Good"
"Mexico",7.75,7.67,7.42,8,1300,2015,"Good"
"Colombia",7.92,7.92,7.83,2,NA,2016,"Good"
"Uganda",8.17,7.92,7.75,1,1800,2016,"Good"
"Honduras",7.58,7.92,7.75,2,1500,2016,"Good"
"Thailand",7.42,7.5,7.67,0,1500,2013,"Good"
"Mexico",7.42,7.33,7.42,1,1200,2012,"Poor"
"Honduras",6.83,6.83,6.83,7,1350,2014,"Poor"
"Tanzania, United Republic Of",7.42,7.33,7.42,5,1500,2014,"Poor"
"Ethiopia",7.83,8,8.17,7,NA,2017,"Good"
"Taiwan",7.58,7.17,7.17,0,600,2014,"Poor"
"Mexico",7.58,7.08,7,4,1400,2013,"Poor"
"Guatemala",7.33,7.33,7.5,4,1310.64,2013,"Poor"
"Kenya",7.67,7.75,7.75,0,1650,2012,"Good"
"Guatemala",7.5,7.42,7.75,2,1219.2,2017,"Good"
"Taiwan",7.25,7.25,7.08,0,200,2017,"Good"
"Colombia",7.83,7.5,7.33,1,1750,2013,"Good"
"Mexico",7.33,7.33,7.42,2,1150,2013,"Poor"
"Mexico",7.25,7.25,7.33,1,1450,2012,"Poor"
"Guatemala",7.25,7.17,7.25,6,1550,2015,"Poor"
"Mexico",8,7.92,7.17,4,1400,2012,"Good"
"Taiwan",7.83,7.75,7.75,3,1200,2015,"Good"
"Guatemala",7.33,7.83,8.17,1,1524,2014,"Good"
"Taiwan",7.92,7.83,7.58,0,800,2014,"Good"
"Costa Rica",7.67,7.58,7.58,3,1200,2013,"Good"
"Taiwan",7.67,7.67,7.58,0,750,2016,"Good"
"Brazil",7.58,7.67,7.58,5,890,2018,"Good"
"India",7.67,7.75,7.83,0,750,2014,"Good"
"Myanmar",7.33,7.58,7.42,2,4001,2015,"Poor"
"Mexico",7.5,7.17,7.17,0,1100,2012,"Poor"
"Brazil",7.33,7.5,7.33,2,1100,2016,"Poor"
"Costa Rica",7.58,7.75,7.75,13,NA,2017,"Good"
"Ethiopia",7.92,7.83,8.33,3,NA,NA,"Good"
"United States (Hawaii)",7.83,7.83,8,1,NA,2012,"Poor"
"Mexico",7.25,6.83,7.08,7,1100,2012,"Poor"
"Tanzania, United Republic Of",7.33,7.33,7.25,7,1700,2013,"Poor"
"Guatemala",7.67,7.67,7.5,10,1310.64,2012,"Good"
"Colombia",7.75,7.83,7.83,0,1550,2013,"Good"
"Colombia",7.75,7.92,7.75,3,1775,2012,"Good"
"Colombia",7.58,7.5,7.58,0,1700,2011,"Poor"
"Mexico",7.17,7.17,7.17,29,1280,2012,"Poor"
"Brazil",8.25,7.83,8.33,0,1268,2016,"Poor"
"Mexico",7.58,7.33,7.33,17,1100,2017,"Poor"
"Uganda",7.67,7.83,7.83,6,1100,2014,"Poor"
"Laos",7.42,7.5,7.33,0,1250,2015,"Poor"
"Mexico",7.08,6.83,7.42,20,900,2012,"Poor"
"Ethiopia",7.83,8.25,8.17,2,NA,NA,"Good"
"Peru",7.83,7.75,7.83,5,NA,2013,"Good"
"Tanzania, United Republic Of",7.83,7.75,7.75,2,1600,2014,"Good"
"Mexico",7.83,8,7.75,3,1300,2015,"Good"
"Guatemala",7.75,7.75,7.75,6,1500,2016,"Good"
"El Salvador",7.42,7.83,8.08,3,1200,2011,"Good"
"Colombia",7.92,7.75,7.67,4,NA,2016,"Good"
"Brazil",7.83,7.75,7.75,2,1100,2012,"Good"
"Mexico",7.58,7.58,7.58,2,1100,2012,"Good"
"Colombia",7.67,7.58,7.67,0,1600,2014,"Good"
"Uganda",7.83,7.5,7.58,0,1650,2013,"Good"
"Mexico",7.5,7.42,7.5,13,1800,2012,"Poor"
"Mexico",6.75,6.75,7.25,8,1200,2010,"Poor"
"Colombia",7.25,7.17,6.75,4,1800,2010,"Poor"
"Mexico",7.33,7.25,7.42,4,1000,2012,"Poor"
"United States (Hawaii)",7.58,7.75,8,4,NA,2012,"Good"
"United States",8,8.5,8.17,0,2080,2014,"Good"
"Mexico",7.42,7.58,7.67,1,1600,2013,"Good"
"Uganda",7.58,7.75,7.75,1,1800,2015,"Good"
"United States (Hawaii)",7.25,7.42,7.58,0,NA,2013,"Good"
"Colombia",7.58,7.5,7.58,0,1750,2013,"Good"
"Colombia",7.67,7.58,7.5,4,NA,2012,"Good"
"United States (Hawaii)",7.42,7.08,7.17,5,NA,2014,"Poor"
"Colombia",7.92,7.58,7.83,6,2527,2017,"Good"
"Mexico",7.42,7.17,7.17,19,750,2012,"Poor"
"Peru",7,7.08,7.25,2,NA,2013,"Poor"
"United States (Hawaii)",7.5,7.5,7.42,0,NA,2012,"Good"
"Mexico",7.08,7,7.33,11,1250,2012,"Poor"
"Uganda",8,7.92,7.75,7,1212,2013,"Good"
"Costa Rica",7.83,7.42,7.83,3,1300,2013,"Good"
